SL,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,1,Hosaina jannata,,,Senammarghuna,,,,,4955,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,2,Hosaina jannata,,,Mubin para,,,,,1234,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,2,Hosaina jannata,,,Senammarghuna,,,,,1816,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,3,Hosaina jannata,,,Krishnapur,,,,,2041,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,4,Muslima Jannat,,,Dokhin bohoddorkata,,,,,4284,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,5,Muslima Jannat,,,Uttar Bohoddorkata,,,,,3073,613,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,6,Muslima Jannat,,,Puchalia para,,,,,3814,783,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,7,Johar Yeasmin,,,Betuakul,,,,,1473,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,7,Johar Yeasmin,,,Diarchar,,,,,1031,233,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10,Bangladesh,Chattogram,Cox's Bazar,Chakaria,B.M Char,7,Johar Yeasmin,,,Hashi Sikdar para,,,,,1009,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
