SL,Country,SL,Country,Division,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bangladesh,1,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,1,Mina Barua,,, Tea Garden ,,,,,5554,1812,,0,600,,,,,,,,,,,,,,,,
2,Bangladesh,2,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,2,,,, Dhopaghat ,,,,,2165,809,,0,460,,,,,,,,,,,,,,,,
3,Bangladesh,3,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,3,,,, Munshi Bari ,,,,,1001,450,,0,190,,,,,,,,,,,,,,,,
4,Bangladesh,4,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,4,,,, Rajanagar ,,,,,3349,1234,,0,0,,,,,,,,,,,,,,,,
5,Bangladesh,5,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,5,,,, Shikdar Bari ,,,,,1766,626,,0,0,,,,,,,,,,,,,,,,
6,Bangladesh,6,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,6,,,, Haji Para ,,,,,2085,809,,0,0,,,,,,,,,,,,,,,,
7,Bangladesh,7,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,7,,,, Purba Kodala ,,,,,1128,340,,273,273,,,,,,,,,,,,,,,,
8,Bangladesh,8,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,8,,,, Mohammodpur ,,,,,9466,3371,,0,840,,,,,,,,,,,,,,,,
9,Bangladesh,9,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Kodala,9,,,, Shawndippara ,,,,,2473,632,,0,500,,,,,,,,,,,,,,,,
10,Bangladesh,10,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,1,,,, Rajapara ,,,,,3231,1121,,0,0,,,,,,,,,,,,,,,,
11,Bangladesh,11,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,2,,,, Maijpara ,,,,,1575,567,,0,0,,,,,,,,,,,,,,,,
12,Bangladesh,12,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,3,,,, West shilok ,,,,,2460,982,,0,0,,,,,,,,,,,,,,,,
13,Bangladesh,13,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,4,,,, Rastarmatha ,,,,,1771,745,,0,0,,,,,,,,,,,,,,,,
14,Bangladesh,14,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,5,Anwara Begum,,, Fokiraghat ,,,,,2258,793,,0,0,,,,,,,,,,,,,,,,
15,Bangladesh,15,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,6,,,, Notuar Tila ,,,,,2254,745,,0,250,,,,,,,,,,,,,,,,
16,Bangladesh,16,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,7,,,, Pakhiar Tila ,,,,,1987,577,,0,0,,,,,,,,,,,,,,,,
17,Bangladesh,17,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,8,,,, Shilok ,,,,,3000,983,,0,0,,,,,,,,,,,,,,,,
18,Bangladesh,18,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Shilock,9,,,, Minagazir Tila ,,,,,5096,1789,,0,0,,,,,,,,,,,,,,,,
19,Bangladesh,19,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,1,,,, Jungle Bogabili ,,,,,1983,434,,0,0,,,,,,,,,,,,,,,,
20,Bangladesh,20,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,2,,,, Bogabili ,,,,,2161,353,,0,0,,,,,,,,,,,,,,,,
21,Bangladesh,21,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,3,,,, Rajghatarkul ,,,,,2170,342,,0,0,,,,,,,,,,,,,,,,
22,Bangladesh,22,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,4,,,, Bharanchari ,,,,,2044,576,,0,0,,,,,,,,,,,,,,,,
23,Bangladesh,23,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,5,,,, Thandachari ,,,,,2250,765,,0,0,,,,,,,,,,,,,,,,
24,Bangladesh,24,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,6,,,, Shialbukka ,,,,,1250,289,,0,0,,,,,,,,,,,,,,,,
25,Bangladesh,25,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,7,,,, Rajghata ,,,,,3458,789,,0,0,,,,,,,,,,,,,,,,
26,Bangladesh,26,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,8,,,, Middle Ghagra ,,,,,1965,561,,0,0,,,,,,,,,,,,,,,,
27,Bangladesh,27,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Rajanagar,9,,,, Halimpur ,,,,,2050,698,,0,,,,,,,,,,,,,,,,,
28,Bangladesh,28,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,1,,,, North Betchari ,,,,,2910,763,,0,0,,,,,,,,,,,,,,,,
29,Bangladesh,29,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,2,Monju Das,,, Sadikkabil/Rayssabil ,,,,,1410,372,,0,0,,,,,,,,,,,,,,,,
30,Bangladesh,30,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,3,,,, Mogachari ,,,,,1150,287,,0,0,,,,,,,,,,,,,,,,
31,Bangladesh,31,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,4,,,, Gabtol ,,,,,2160,486,,200,200,,,,,,,,,,,,,,,,
32,Bangladesh,32,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,5,,,, Khamargo Para ,,,,,2302,653,,0,0,,,,,,,,,,,,,,,,
33,Bangladesh,33,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,6,,,, Kalipur ,,,,,1888,583,,0,0,,,,,,,,,,,,,,,,
34,Bangladesh,34,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,7,,,, Middle Ghagra ,,,,,1756,498,,0,0,,,,,,,,,,,,,,,,
35,Bangladesh,35,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,8,,,, Pair Mohammad house ,,,,,2373,439,,0,0,,,,,,,,,,,,,,,,
36,Bangladesh,36,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,Islampur,9,,,, Dharmagoda/ Gol Mohammad para ,,,,,2805,583,,0,0,,,,,,,,,,,,,,,,
37,Bangladesh,37,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,1,,,, Rajarhat ,,,,,1991,368,,0,0,,,,,,,,,,,,,,,,
38,Bangladesh,38,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,2,,,, Khondolia Para ,,,,,2710,363,,0,0,,,,,,,,,,,,,,,,
39,Bangladesh,39,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,3,,,, Shikdar para ,,,,,1662,247,,0,0,,,,,,,,,,,,,,,,
40,Bangladesh,40,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,4,,,, Mohammadpur ,,,,,1903,303,,0,0,,,,,,,,,,,,,,,,
41,Bangladesh,41,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,5,,,, Sonargoan ,,,,,4024,438,,0,0,,,,,,,,,,,,,,,,
42,Bangladesh,42,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,6,,,, Sadeker Para ,,,,,5232,1589,,0,0,,,,,,,,,,,,,,,,
43,Bangladesh,43,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,7,,,, Munshi Bari ,,,,,3013,871,,0,0,,,,,,,,,,,,,,,,
44,Bangladesh,44,Bangladesh,Chattogram,Chattogram,Chattogram,Rangunia,S. Rajanogar,8,,,, Soyod bari ,,,,,2210,489,,0,0,,,,,,,,,,,,,,,,
