SL,District,Sq No,Country,Division,District,Upazila,Union,Ward No,Name of SK/SHW,Desig.,Name of SS,Village Name (English),"Village Name 
(Bangla)","Village 
Code",Latitude,Longitute,Population,HH Number,"2026 
(Active LLINs)","2025
(Active LLINs)","2024
(Active LLINs)",January,February,March,April,May,June,July,August,September,October,November,December,"Name of
 MMW, 
Health 
post &
CHW(C)","Village 
Distance
 from 
upazila office (KM)","Name of Border
 with others
 country","Others
 Activities
(TDA/Dev care)"
1,Bandarban,1,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Jarichandra Para,জরিচন্দ্র পাড়া,PAT101,22.979065,91.813456,140,,,,,,,,,,,,,,,,,,,,
2,Bandarban,2,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Manikchandra Para,মানিকচন্দ্র পাড়া,PAT102,22.976104,91.823431,400,,,,,,,,,,,,,,,,,,,,
3,Bandarban,3,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Buddhadhan Para,বুদ্ধধন পাড়া,PAT103,22.982546,91.834633,200,,,,,,,,,,,,,,,,,,,,
4,Bandarban,4,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Jamini Para,যামিনী পাড়া,PAT104,22.985415,91.835973,80,,,,,,,,,,,,,,,,,,,,
5,Bandarban,5,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Nabadwip Karbari Para,নবদ্বীপ কারবারি পাড়া,PAT105,22.974078,91.842199,80,,,,,,,,,,,,,,,,,,,,
6,Bandarban,6,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Temaram Para,তেমরম পাড়া,PAT106,22.967090,91.848012,275,,,,,,,,,,,,,,,,,,,,
7,Bandarban,7,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Thalibari,থলিবাড়ি,PAT107,22.955622,91.836878,800,,,,,,,,,,,,,,,,,,,,
8,Bandarban,8,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Ashwini Karbari Para,অশ্বিনী কারবারি পাড়া,PAT108,22.953180,91.857088,120,,,,,,,,,,,,,,,,,,,,
9,Bandarban,9,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,01,,,,Hridaymani Karbari Para,হৃদয়মণি কারবারি পাড়া,PAT109,22.960081,91.856728,84,,,,,,,,,,,,,,,,,,,,
10,Bandarban,10,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,02,,,,Dakbangla,ডাকবাংলা,PAT201,22.960546,91.816046,560,,,,,,,,,,,,,,,,,,,,
11,Bandarban,11,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,02,,,,Patachhara,পাতাছড়া,PAT202,22.962324,91.812100,750,,,,,,,,,,,,,,,,,,,,
12,Bandarban,12,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,02,,,,Deepta Karbari Para,দীপ্ত কারবারি পাড়া,PAT203,22.966548,91.807793,600,,,,,,,,,,,,,,,,,,,,
13,Bandarban,13,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,02,,,,Kalabari,কলাবাড়ি,PAT204,22.956716,91.825362,500,,,,,,,,,,,,,,,,,,,,
14,Bandarban,14,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,02,,,,Patachhara Bazar Ansar Camp,পাতাছড়া বাজার আনসার ক্যাম্প,PAT205,22.959851,91.814020,,,,,,,,,,,,,,,,,,,,,
15,Bandarban,15,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Puran Nakapa,পুরান নাকাপা,PAT301,22.993326,91.786911,350,,,,,,,,,,,,,,,,,,,,
16,Bandarban,16,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Dataram Para,দাতারাম পাড়া,PAT302,22.982621,91.793500,210,,,,,,,,,,,,,,,,,,,,
17,Bandarban,17,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Rasulpur,রসুলপুর,PAT303,22.971435,91.798161,1500,,,,,,,,,,,,,,,,,,,,
18,Bandarban,18,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Nakapa Bazar,নাকাপা বাজার,PAT304,22.966407,91.794304,150,,,,,,,,,,,,,,,,,,,,
19,Bandarban,19,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Talmani Para,তালমণি পাড়া,PAT305,22.963929,91.795527,1000,,,,,,,,,,,,,,,,,,,,
20,Bandarban,20,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Budangchhara,বুদংছড়া,PAT306,22.971227,91.804919,150,,,,,,,,,,,,,,,,,,,,
21,Bandarban,21,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,03,,,,Nakapa Police Camp,নাকাপা পুলিশ ক্যাম্প,PAT307,22.967687,91.796989,,,,,,,,,,,,,,,,,,,,,
22,Bandarban,22,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,04,,,,Mahabub Nagar,মাহাবুব নগর,PAT401,22.947228,91.854359,930,,,,,,,,,,,,,,,,,,,,
23,Bandarban,23,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,04,,,,Pailyabhanga,পাইল্যাভাঙ্গা,PAT402,22.938369,91.854890,1185,,,,,,,,,,,,,,,,,,,,
24,Bandarban,24,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,04,,,,Tabla Para,তবলা পাড়া,PAT403,22.932855,91.842661,350,,,,,,,,,,,,,,,,,,,,
25,Bandarban,25,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Taichakma,তৈচাকমা,PAT501,22.933772,91.793819,635,,,,,,,,,,,,,,,,,,,,
26,Bandarban,26,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Kumari Para,কুমারী পাড়া,PAT502,22.936834,91.784586,180,,,,,,,,,,,,,,,,,,,,
27,Bandarban,27,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Sadhu Para,সাধু পাড়া,PAT503,22.934941,91.784813,75,,,,,,,,,,,,,,,,,,,,
28,Bandarban,28,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Master Para,মাস্টার পাড়া,PAT504,22.931108,91.793812,50,,,,,,,,,,,,,,,,,,,,
29,Bandarban,29,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Nabhanga,নাভাঙ্গা,PAT505,22.930189,91.807450,150,,,,,,,,,,,,,,,,,,,,
30,Bandarban,30,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Pagla Para,পাগলা পাড়া,PAT506,22.947980,91.810425,600,,,,,,,,,,,,,,,,,,,,
31,Bandarban,31,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Rajkumar Para,রাজকুমার পাড়া,PAT507,22.934845,91.803103,75,,,,,,,,,,,,,,,,,,,,
32,Bandarban,32,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Thali Para ,থলি পাড়া,PAT508,22.952735,91.798201,500,,,,,,,,,,,,,,,,,,,,
33,Bandarban,33,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Hachok Para,হাচোক পাড়া,PAT509,22.934289,91.767813,300,,,,,,,,,,,,,,,,,,,,
34,Bandarban,34,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,05,,,,Purba Natunpara,পূর্ব নতুনপাড়া,PAT510,22.936027,91.827187,300,,,,,,,,,,,,,,,,,,,,
35,Bandarban,35,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,06,,,,Dataram Para,দাতারাম পাড়া,PAT601,22.975419,91.786875,1250,,,,,,,,,,,,,,,,,,,,
36,Bandarban,36,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,06,,,,Dhaka Colony,ঢাকা কলোনি,PAT602,22.967718,91.784605,170,,,,,,,,,,,,,,,,,,,,
37,Bandarban,37,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,06,,,,Chaidanchhara,ছাইদংছড়া,PAT603,22.964927,91.791984,160,,,,,,,,,,,,,,,,,,,,
38,Bandarban,38,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,06,,,,Mohammadpur,মোহাম্মদপুর,PAT604,22.959056,91.790103,550,,,,,,,,,,,,,,,,,,,,
39,Bandarban,39,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,06,,,,Madhupur,মধুপুর,PAT605,22.969116,91.791585,510,,,,,,,,,,,,,,,,,,,,
40,Bandarban,40,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Chota Belchhari Para,ছোট বেলছড়ি পাড়া,PAT701,22.928367,91.780934,115,,,,,,,,,,,,,,,,,,,,
41,Bandarban,41,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Kampruepara,কম্প্রুপাড়া,PAT702,22.931433,91.790673,225,,,,,,,,,,,,,,,,,,,,
42,Bandarban,42,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Salda Para,সালদা পাড়া,PAT703,22.908714,91.786070,290,,,,,,,,,,,,,,,,,,,,
43,Bandarban,43,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Guza Para,গুজা পাড়া,PAT704,22.903322,91.758162,370,,,,,,,,,,,,,,,,,,,,
44,Bandarban,44,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Noa Para,নোয়া পাড়া,PAT705,22.888375,91.763602,320,,,,,,,,,,,,,,,,,,,,
45,Bandarban,45,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Belchhari Para,বেলছড়ি পাড়া,PAT706,22.912482,91.775590,325,,,,,,,,,,,,,,,,,,,,
46,Bandarban,46,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,07,,,,Salda Baidya Para,সালদা বৈদ্য পাড়া,PAT707,22.911331,91.783249,175,,,,,,,,,,,,,,,,,,,,
47,Bandarban,47,Bangladesh,Chattogram,Khagrachhari,Ramgarh,Patachhara,08,,,,Dakkhin Balukhali,দক্ষিণ বালুখালি,PAT801,22.884448,91.719967,700,,,,,,,,,,,,,,,,,,,,
